(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0F9W75LLW,B0CJX4XSXB,"NewEleven Gifts For Mom - Birthday Gifts For Mom From Daughter, Son, Kids, Husband - Wife Gift - Unique Present Ideas For Mother, Mother In Law, Wife, New Mama - 20 Oz Tumbler",S8-FINW-47HP,32,1,0.65%,1.45%,47,1,0.75%,1.20%,100.00%,0.00%,2,0,6.25%,0.00%,$39.96,$0.00,2,0
B0FD9RR4NB,B0CN926PG1,"NewEleven Gifts For Brothers From Sister, Bro - Best Birthday Gift For Big, Little Brother, Siblings, Brothers In Law, Men - 20 Oz Tumbler Navy",1O-O788-ZCZU,7,0,0.14%,0.00%,9,0,0.14%,0.00%,100.00%,0.00%,2,0,28.57%,0.00%,$39.96,$0.00,2,0
B0FD9QBGZH,B0CN93LZ5M,"NewEleven 50th Birthday Gifts For Men Women - 1974 50th Birthday Decorations - Gifts For Men Women Turning 50-50 Year Old Gift For Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler",RQ-VBDU-6QPJ,18,0,0.37%,0.00%,20,0,0.32%,0.00%,100.00%,0.00%,2,0,11.11%,0.00%,$39.96,$0.00,2,0
B0FD9RR4NB,B0CWTR4RFZ,"NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For Aunt, New Aunts, Sister - Aunts Birthday Gift, Auntie Announcement, Promoted To Auntie, Best Aunties Ever - 20 Oz Tumbler",KH-DRF5-O4UX,3,0,0.06%,0.00%,4,0,0.06%,0.00%,100.00%,0.00%,2,0,66.67%,0.00%,$31.96,$0.00,2,0
B0FGDHKH6G,B0CXXJ751C,"NewEleven Gifts For Friends, Bestie – Work Bestie Presents For Women Friends - Appreciation Gifts For Coworkers, Unique Present Ideas For Coworker Leaving, Farewell Party – 16 Oz Coffee Glass",7X-5K3W-K6CS,20,0,0.41%,0.00%,24,0,0.38%,0.00%,90.91%,0.00%,2,0,10.00%,0.00%,$31.96,$0.00,2,0
B0D6Y54MJD,B0CZDV6J3V,"NewEleven Gifts For Book Lovers - Book Lovers Gifts For Women - Book Themed Gift for Readers, Librarians, Bookaholics - Birthday Gift For Women, Her, Best Friend – 16 Oz Coffee Glass",0B-GUIB-F6GL,13,0,0.27%,0.00%,17,0,0.27%,0.00%,93.33%,0.00%,2,0,15.38%,0.00%,$27.96,$0.00,2,0
B0DJSXDDTF,B0D82XJDLM,"NewEleven Pet Memorial Gifts for Dogs, Cat Loss Gift - Dog Remembrance, Loss of Pet Sympathy Gifts, Pet Passing Away Gift, Rainbow Bridge Dog Remembrance Presents - Memorial Candle",U6-ZP01-FHVD,6,0,0.12%,0.00%,10,0,0.16%,0.00%,100.00%,0.00%,2,0,33.33%,0.00%,$31.96,$0.00,2,0
B0DPKY9KZ1,B0D9L8P1XL,"NewEleven Gifts for Women Friendship - Funny Gift for Friends Female - Unique Friendship Gifts for Women, Friend, Female, Bestie, BFF, Soul Sister, Work Bestie - Candle",1G-WJN6-34JP,20,0,0.41%,0.00%,24,0,0.38%,0.00%,100.00%,0.00%,2,0,10.00%,0.00%,$35.96,$0.00,2,0
B0DKDWHJ2P,B0DCJQ2SKV,"NewEleven Gifts For Mom, New Mom – 2025 Pregnancy Gifts For First Time Mother, Pregnant, Expecting Mama, Mother To Be, Mama, Mommy To Be - 16 Oz Coffee Glass",F5-C0C3-Z1JN,21,1,0.43%,1.45%,22,1,0.35%,1.20%,100.00%,0.00%,2,0,9.52%,0.00%,$25.98,$0.00,2,0
B0FD9QBGZH,B0DHCGTL3R,"NewEleven 70th Birthday Gifts For Men Women - 1955 70th Birthday Decorations - Gifts For Men Women Turning 70-70 Year Old Gifts For Man, Woman - 20 Oz Tumbler",DF-AWOB-F9BG,15,0,0.31%,0.00%,19,0,0.30%,0.00%,100.00%,0.00%,2,0,13.33%,0.00%,$39.96,$0.00,2,0
B0F4CLW9JM,B0DR1SNKVX,"NewEleven Engagement Gifts for Couples 2025 - Gift for Newly Engaged Couples, Happy Engagement Gifts for Her, Women, Friends, Bride to Be Gift, Glass Christmas Ornaments",4L-EMQE-OQ2Y,5,0,0.10%,0.00%,6,0,0.10%,0.00%,100.00%,0.00%,2,0,40.00%,0.00%,$19.98,$0.00,2,0
B0F6M1XX87,B0F6M1XX87,"NewEleven Coworker Gifts For Women, Men - Funny Best Friend Present For Work Bestie, Boss, Friends - Gift For Boss, Employer, Bestfriend Gag Gift From Colleague, Friends - 20 Oz Tumbler",51-MNGA-I4QG,23,0,0.47%,0.00%,33,0,0.52%,0.00%,100.00%,0.00%,2,0,8.70%,0.00%,$39.96,$0.00,2,0
B0FFGT9TWF,B0F8VPS7QN,"NewEleven Best Friend Birthday Gifts For Women - Best Friend Gift For Her, Him - Bestie Gift, Christian Present From Friends - Decorative Glass Inspirational Scripture Jar with 92 Bible Verse",FY-G9UN-GE5E,44,0,0.90%,0.00%,52,0,0.83%,0.00%,100.00%,0.00%,2,0,4.55%,0.00%,$35.96,$0.00,2,0
B0F8BCC76K,B08ZKZ1FJK,NewEleven 20 Oz Tumbler - Christmas Gifts for Dad from Kids,5O-AIII-N41X,3,0,0.06%,0.00%,3,0,0.05%,0.00%,100.00%,0.00%,1,0,33.33%,0.00%,$15.98,$0.00,1,0
B0995JRMHP,B0995JRMHP,Neweleven Replacement Lid For 20 Oz NewEleven Tumbler - Pack of 2 lids,O1-FU7J-W72I,3,0,0.06%,0.00%,5,0,0.08%,0.00%,100.00%,0.00%,1,0,33.33%,0.00%,$9.98,$0.00,1,0
B0DKP1FXBW,B0B2WGL9ZW,"NewEleven Retirement Gifts For Women 2025 - Happy Retirement Gift - Coworker Leaving Gift, Farewell Gifts, Goodbye Presents For Coworkers, Friends - 12 Oz Tumbler",DI-F7I2-E7AK,20,0,0.41%,0.00%,25,0,0.40%,0.00%,100.00%,0.00%,1,0,5.00%,0.00%,$22.98,$0.00,1,0
B0D6W5PCC1,B0B9SF2R4R,"NEWELEVEN 16 Oz Coffee Glass - Mama Needs Coffee - Transparent Glass - Reusable - 16 oz - Casual - Cold Drinks - Christmas, Mother's Day, Birthday - 1 Count",SB-OEYK-4VNP,9,1,0.18%,1.45%,10,1,0.16%,1.20%,100.00%,0.00%,1,0,11.11%,0.00%,$11.98,$0.00,1,0
B0F8VCZ61V,B0BDLH8KX3,"NewEleven Gifts For Wife, Her - Wife Gifts From Husband - Gift For Her - Gift Ideas For Women, Bride To Be, Fiancee, Wifey - 16 Oz Coffee Glass",47-ZC5Z-3DOW,5,0,0.10%,0.00%,7,0,0.11%,0.00%,100.00%,0.00%,1,0,20.00%,0.00%,$11.99,$0.00,1,0
B0D6W5PCC1,B0BHWDNYVL,"NewEleven Gifts For Mom - Present For Mom From Daughter, Son, Kids - Unique Birthday Gifts For Mother, New Mom, Mommy, Pregnancy - 16 Oz Coffee Glass",CW-5CAB-L7CZ,9,3,0.18%,4.35%,12,4,0.19%,4.82%,100.00%,100.00%,1,1,11.11%,33.33%,$11.98,$11.98,1,1
B0FGDHKH6G,B0BRCDZRSP,"NewEleven Christmas Gifts For Women Friendship - Funny Gifts For Friends Female - Unique Friendship Gift For Women, Friend, Female, Bestie, Bff, Soul Sister, Work Bestie - 16 Oz Coffee Glass",J6-0WCY-QT0U,10,0,0.20%,0.00%,10,0,0.16%,0.00%,100.00%,0.00%,1,0,10.00%,0.00%,$15.98,$0.00,1,0
B0FGDHKH6G,B0C1BS7BV8,"NewEleven Cute Glass Coffee Cups With Lids And Straw – Aesthetic Cups – Iced Coffee Cup, Coffees Tumbler – Galentines Gifts For Women, Coffees Lover - 16 Oz Coffee Glass",8N-VAIO-VFH3,9,0,0.18%,0.00%,9,0,0.14%,0.00%,100.00%,0.00%,1,0,11.11%,0.00%,$14.98,$0.00,1,0
B0DK4PDRY3,B0C23XHCN1,"NewEleven Gifts For Women - Stuff For Sloth Lovers - Cute Funny Birthday Gifts For Women, Best Friend, Sister, Daughter, Coworker - 16 Oz Coffee Glass",ZE-FHJ1-JZZW,2,0,0.04%,0.00%,2,0,0.03%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,$14.98,$0.00,1,0
B0DYP51XSW,B0C3CW184G,"NewEleven Retirement Gifts For Woman 2025 - Happy Retirement Gifts For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler",L6-4LV1-54DE,15,0,0.31%,0.00%,15,0,0.24%,0.00%,100.00%,0.00%,1,0,6.67%,0.00%,$21.98,$0.00,1,0
B0DWDQQ88X,B0C9C5VX7S,"NewEleven Gifts For Sister From Sister, Brother - Unique Birthday Present For Sisters, Soul Sis, Big, Little Sisters, Sis In Law, Sibling, Bestie - 16 Oz Coffee Glass",T8-BRCL-CEUK,19,0,0.39%,0.00%,24,0,0.38%,0.00%,100.00%,0.00%,1,0,5.26%,0.00%,$9.99,$0.00,1,0
B0D6W5PCC1,B0CBJSYJJS,"NEWELEVEN 16 Oz Coffee Glass - Mom Birthday Gifts, Multicolor, Glass, 16 oz, Reusable, Insulated, Cylindrical, Casual, Cold Drinks, Christmas, Mother's Day, Birthday",IV-16R1-T5AZ,4,1,0.08%,1.45%,4,1,0.06%,1.20%,100.00%,0.00%,1,0,25.00%,0.00%,$11.98,$0.00,1,0
B0F9W75LLW,B0CDLQFJK6,"NewEleven Gifts For Men, Dad, Husband, Friend - Birthday Gift For Women, Men - Thank You Gifts, Appreciation Gift, Graduation Presents For Men, Nurse, Teacher, Boss, Coworker – 20 Oz Tumbler",EH-49BE-XWTF,11,1,0.22%,1.45%,14,1,0.22%,1.20%,91.67%,0.00%,1,0,9.09%,0.00%,$16.98,$0.00,1,0
