Product,ASIN,Date,SKU,Units,Refunds,Sales,Promo,Ads,Sponsored products (PPC),% Refunds,Sellable Quota,Refund сost,Amazon fees,Cost of Goods,Gross profit,Net profit,Estimated payout,Margin,ROI,BSR,Real ACOS,Sessions,Unit Session Percentage,Sponsored Display
"NewEleven Gifts For Godmother - Will You Be My Godmother From GodChild - Pregnancy Announcement Gifts For God Mother, Godmom, Godparents - 16 Oz Coffee Glass
COG: 2,15 / Price: 14,98",B0CJ2CKDR8,2025-08-02,SE-AHQ6-UUXA,5.0,1.0,64.9,,-4.26,-4.26,20,-,-15.6,-35.7,-10.75,-1.41,-1.41,9.34,-2.17,-13.12,39691.0,6.56,23.0,21.74,
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Kids - Husband Gift - Birthday Present Ideas For Father, Husband, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler
COG: 3,44 / Price: 19,98",B0CM5RJ8VD,2025-08-02,1J-71GS-RJFC,5.0,,99.9,,,,,-,,-37.25,-17.2,45.45,45.45,62.65,45.5,264.24,7108.0,,26.0,19.23,
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Him, Her - Turning 40-40 Year Old Gifts For Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler
COG: 3,29 / Price: 19,98",B0DH86X93V,2025-08-02,Z0-L1YB-49DF,5.0,1.0,99.9,-1.0,-15.95,-15.95,20,-,-17.34,-37.09,-16.45,12.07,12.07,28.52,12.08,73.37,2487.0,15.97,27.0,18.52,
"NewEleven House Warming Gifts, New Home Ornament 2025, Dream Home Gift Ideas Decor - Welcome Home Gifts, Housewarming Gift New Home, Best Housewarming Presents 2025 - Glass Ornament
COG: 2,33 / Price: 9,99",B0DPM5JXP7,2025-08-02,BK-7AQP-YXO7,5.0,,49.95,,-11.8,-11.8,,-,,-22.8,-11.65,3.7,3.7,15.35,7.41,31.76,87134.0,23.62,18.0,27.78,
"NewEleven Engagement Gifts for Couples 2025 - Gift for Newly Engaged Couples, Happy Engagement Gifts for Her, Women, Friends, Bride to Be Gift, Glass Ornament
COG: 1,8 / Price: 9,99",B0DRT3MK34,2025-08-02,87-ARXM-YV1I,5.0,,49.95,,-29.28,-29.28,,-,,-21.05,-9.0,-9.38,-9.38,-0.38,-18.78,-104.22,87140.0,58.62,35.0,14.29,
"NewEleven Daughter Birthday Gifts - Gifts For Daughter, Daughters In Law - Daughters Birthday Gift Ideas From Mom, Dad - Decorative Glass Scripture Jar With 92 Bible Verse
COG: 2,44 / Price: 17,98",B0F13VCCMP,2025-08-02,CG-9LUS-K14G,5.0,,89.9,,,,,-,,-35.6,-12.2,42.1,42.1,54.3,46.83,345.08,17176.0,,52.0,9.62,
"NewEleven Gifts For Mom - Birthday Card For Mom From Daughter, Son, Kids, Husband - Wife Gift - Unique Present Ideas For Mother, Mother In Law, Wife, New Mama - Greeting Card
COG: 0,46 / Price: 9,99",B0F2TDMHFC,2025-08-02,LT-01MF-LZ2N,5.0,,49.95,,-41.72,-41.72,,-,,-19.7,-2.3,-13.77,-13.77,-11.47,-27.57,-598.7,9160.0,83.52,46.0,10.87,
"NewEleven Birthday Gifts For Women - Christian Gifts For Women, Her, Friends - Appreciation Present From Friend, Family - Decorative Glass Inspirational Scripture Jar With 92 Bible Verse
COG: 2,62 / Price: 16,98",B0F6M3X7LG,2025-08-02,9Y-C7LJ-8AVP,5.0,,84.9,,-23.3,-23.3,,-,,-33.55,-13.1,14.95,14.95,28.05,17.61,114.12,17176.0,27.44,33.0,15.15,
"NewEleven Dog Mom Gifts For Women - Dog Mom Card, Cute Gifts For Dog Lovers, Dogs Owners - Birthday Gift, Dogs Moms Gift From Friend, Husband, Family - Greeting Card
COG: 0,39 / Price: 6,99",B0FC5XQTBQ,2025-08-02,1A-JRBV-8HH8,5.0,,34.95,,-8.69,-8.69,,-,,-17.25,-1.95,7.06,7.06,9.01,20.2,362.05,9160.0,24.86,16.0,31.25,
"NewEleven Gift For Brother From Sister, Bro - Best Birthday Gift For Big, Little Brother, Siblings, Brothers In Law - Funny Gag Gifts For Men - 20 Oz Tumbler
COG: 4,4 / Price: 19,98",B09792XF8F,2025-08-02,CC-VIYV-1LFP,4.0,,79.92,,,,,-,,-31.4,-17.6,30.92,30.92,48.52,38.69,175.68,16780.0,,24.0,16.67,
"NewEleven 20 Oz Tumbler - Farewell Gift for Coworker, BPA-Free Stainless Steel Drinking Cup, Double Wall Vacuum Insulation, Going Away Gift for Men Women, Good Luck Gifts
COG: 4,44 / Price: 19,98",B09XDFF8FF,2025-08-02,HR-LSGT-JYQH,4.0,,79.92,,-23.5,-23.5,,-,,-31.4,-17.76,7.26,7.26,25.02,9.08,40.88,41983.0,29.4,129.0,3.1,
"NewEleven Gifts For Nurse - Nurse Gift For Women - Caregiver Appreciation Gifts, Nursing Student, Nurses Practitioner - RN Gift For Nurses Women - 16 Oz Coffee Glass
COG: 2,33 / Price: 9,99",B0CBJR253J,2025-08-02,DM-ZO4D-MA58,4.0,,39.96,,,,,-,,-21.72,-9.32,8.92,8.92,18.24,22.32,95.71,42311.0,,15.0,26.67,
"NewEleven 30th Birthday Gifts For Her Women - 1995 30th Birthday Decorations For Woman - 30 Year Old Gifts Idea For Friends, Sister - 16 Oz Coffee Glass
COG: 2,11 / Price: 15,98",B0DGGDN9WS,2025-08-02,SZ-GAM6-6BB0,4.0,,63.92,,-33.29,-33.29,,-,,-30.16,-8.44,-7.97,-7.97,0.47,-12.47,-94.43,7830.0,52.08,56.0,7.14,
"NewEleven 70th Birthday Gifts For Men Women - 1955 70th Birthday Decorations - Gifts For Men Women Turning 70-70 Year Old Gifts For Man, Woman - 20 Oz Tumbler
COG: 3,32 / Price: 19,98",B0DHCGTL3R,2025-08-02,DF-AWOB-F9BG,4.0,,79.92,,-24.19,-24.19,,-,,-29.8,-13.28,12.65,12.65,25.93,15.83,95.26,2487.0,30.27,27.0,14.81,
"NewEleven Nurse Gifts For Women, Nursing Student, Nurses Practitioner, Registered Nurse - Gifts For Nurses From Friend, Family And Coworker - 16 Oz Coffee Glass
COG: 2,43 / Price: 9,99",B0DWN3SH33,2025-08-02,C0-X5FU-OU85,4.0,,39.96,-2.1,-0.9,-0.9,,-,,-23.12,-9.72,4.12,4.12,13.84,10.31,42.39,42311.0,2.25,15.0,26.67,
"NewEleven Retirement Gift For Woman 2025 - Farewell Gifts For Coworkers, Boss, Friend, Teacher, Grandma - Coworker Leaving Gifts For Women From Friend, Family - Tumbler 12 Oz
COG: 3,4 / Price: 22,98",B0F189PXWB,2025-08-02,L4-F4C9-QOS5,4.0,,91.92,,-2.62,-2.62,,-,,-31.8,-13.6,43.9,43.9,57.5,47.76,322.79,13078.0,2.85,15.0,26.67,
"NewEleven Birthday Gifts For Mom, Funny Card Gifts For Mom, Awesome Mommy Present From Daughter, Best Mother's Day Gift Idea For Wife, Sister - Humorous Greeting Card
COG: 0,45 / Price: 9,99",B0F2T4JDF7,2025-08-02,AU-GMLU-KG6Z,4.0,,39.96,,-7.92,-7.92,,-,,-15.76,-1.8,14.48,14.48,16.28,36.24,804.44,9160.0,19.82,17.0,23.53,
"NewEleven Dog Mom Gifts For Women - Funny Dog Dad Gift, Cute Card For Dog Lover - Birthday Cards, Dog Dad Gifts For Men From Wife, Her, Friend - Greeting Card
COG: 0,39 / Price: 6,99",B0FC65Z1KQ,2025-08-02,ZM-69AN-C3J3,4.0,,27.96,,-24.22,-24.22,,-,,-13.8,-1.56,-11.62,-11.62,-10.06,-41.56,-744.87,9135.0,86.62,44.0,9.09,
"NewEleven Retirement Gift For Woman, Men - Heartfelt Message, Retirement Card For Boss, Friend - Coworker Leaving Gifts For Women From Friends, Colleague - Greeting Card
COG: 0,39 / Price: 5,99",B0FC69Q8BS,2025-08-02,ZB-KCAW-W2E3,4.0,,27.96,-0.84,-33.85,-33.85,,-,,-9.08,-1.56,-17.37,-17.37,-15.81,-62.12,-1113.46,5649.0,121.07,53.0,7.55,
"NewEleven Cat Mom Gifts For Women - Cat Birthday Card, Funny Gift For Cat Lover, Cat Mom, Her - Cat Lover Gifts For Women From Friend, Family - Greeting Card
COG: 0,39 / Price: 6,99",B0FC6CY15S,2025-08-02,5P-CAQZ-6FK5,4.0,,27.96,,-19.24,-19.24,,-,,-13.8,-1.56,-6.64,-6.64,-5.08,-23.75,-425.64,9160.0,68.81,24.0,16.67,
"NewEleven Gifts For Men, Dad, Husband, Him - Aprons For Men With Pockets - Funny Gifts For Men, Dad, Husband, Boyfriend, Him, Brother, Uncle - Grill Cooking BBQ Kitchen Chef Apron
COG: 3,92 / Price: 12,98",B08CDFWN1Q,2025-08-02,T7-POTQ-PD13,3.0,,47.94,,,,,-,,-19.11,-11.76,17.07,17.07,28.83,35.61,145.15,23880.0,,18.0,16.67,
"NEWELEVEN Valentines Gifts For Men - Aprons For Men With Pockets - Funny Gifts For Him - BBQ Kitchen Chef Apron
COG: 3,54 / Price: 12,98",B08ZYGT8SH,2025-08-02,QV-HPXT-L8DT,3.0,1.0,47.94,,-34.53,-34.53,33.33,100,-7.49,-22.74,-10.62,-27.44,-27.44,-23.9,-57.24,-258.38,23880.0,72.03,55.0,5.45,
