Product,ASIN,Date,SKU,Units,Refunds,Sales,Promo,Ads,Sponsored products (PPC),Sponsored Display,% Refunds,Sellable Quota,Refund сost,Amazon fees,Cost of Goods,Gross profit,Net profit,Estimated payout,Margin,ROI,BSR,Real ACOS,Sessions,Unit Session Percentage
"NewEleven Funny Fathers Day Card, Cat Dad Gifts For Men, Best Cat Dad Ever For Father's Day, Cat Lover Gifts For Men, Unique Cats Father Presents - Greeting Card COG: 0,43 / Price: 7,99",B0F7LL1VLP,2025-08-10,QJ-K197-WWV2,,,,,,,,,,,,,,,,,,,,1.0,
"NewEleven Gift For Grandpa - Meaningful Grandpa Gifts From Granddaughter, Grandson - Grandpa Birthday Gifts For Grandfather, New Granddad, PaPa - Bible Jar COG: 2,62 / Price: 16,98",B0F7WVKZ6F,2025-08-10,8O-S5PG-85KF,1.0,,1698.0,,,,,,,,-671.0,-262.0,765.0,765.0,1027.0,4505.0,29198.0,,,8.0,1250.0
"NewEleven Uncle Birthday Gifts - Gift For Uncle, Funcle - Meaningful Present, Birthday Gift For Uncles From Newphew, Niece, Kids - Bible Jar COG: 2,62 / Price: 17,98",B0F7WYS1R1,2025-08-10,YA-B9EW-YOZ9,1.0,,1798.0,,,,,,,,-687.0,-262.0,849.0,849.0,1111.0,4722.0,32405.0,,,10.0,1000.0
"NewEleven Gift For Brother - Brother Birthday Gifts, Christian Gifts For Little, Adult Bro, Sibling - Meaningful Gift For Brothers From Sister, Family - Bible Jar COG: 2,62 / Price: 18,98",B0F7XCP31P,2025-08-10,JB-RJTD-OQ2R,1.0,,1898.0,,,,,,,,-704.0,-262.0,932.0,932.0,1194.0,4910.0,35573.0,,,25.0,400.0
"NewEleven Best Friend Birthday Gifts For Women - Best Friend Gift For Her, Him - Bestie Gift, Christian Present From Friends - Decorative Glass Inspirational Scripture Jar with 92 Bible Verse COG: 2,62 / Price: 17,98",B0F8VPS7QN,2025-08-10,FY-G9UN-GE5E,3.0,,5394.0,-18.0,,,,,,,-203.0,-786.0,2398.0,2398.0,3184.0,4446.0,30509.0,,,23.0,1304.0
"NewEleven Gifts For Grandma - Christian Gift, Nana Gift, Grandma Birthday Gifts From Granddaughter, Grandson, Kids - Decorative Glass Inspirational Scripture Jar with 92 Bible Verse COG: 0 / Price: 17,98",B0FBQZZK71,2025-08-10,RW-PY02-EIMY,4.0,,7192.0,,-4549.0,-4549.0,,,,,-3008.0,,-365.0,-365.0,-365.0,-508.0,,,6325.0,59.0,678.0
"NewEleven Gifts For Aunt - Aunt Birthday Gifts From Niece, Newphew, Kids - Auntie Gift Ideas, Christian Gift For Aunt, Auntie - Decorative Glass Scripture Jar With 92 Bible Verse COG: 1,97 / Price: 16,98",B0FBRBL1CQ,2025-08-10,O8-51RP-7R9U,5.0,,849.0,,-1106.0,-1106.0,,,,,-3355.0,-985.0,3044.0,3044.0,4029.0,3585.0,30904.0,,1303.0,54.0,926.0
"NewEleven Gifts For Wife - Anniversary Present, Wife Birthday Gift Ideas, Christian Present For Wifes From Husband - Decorative Glass Scripture Jar With 92 Bible Verse COG: 0 / Price: 17,98",B0FC53MMVC,2025-08-10,U9-FQBG-WUD3,2.0,,3596.0,,-6446.0,-6446.0,,,,,-1665.0,,-4515.0,-4515.0,-4515.0,-12556.0,,,17925.0,35.0,571.0
"NewEleven Birthday Gifts For Women - Humorous Message, Funny Birthday Gift Card For Men, Women, Dad, Mom, Brother, Sister, Friends, Family - Greeting Card COG: 0,39 / Price: 5,99",B0FC5MVV3Q,2025-08-10,H4-ZU99-Z57Y,,,,,,,,,,,,,,,,,,,,3.0,
"NewEleven Gifts For Men - Romantic Gifts For Boyfriend, Husband, Him - Couple Gift Cards, Anniversary Card For Husband From Wife, Her - Greeting Card COG: 0,42 / Price: 6,99",B0FC5Q3KVJ,2025-08-10,BP-IWCY-92GM,1.0,,699.0,-35.0,-48.0,-48.0,,,,,-339.0,-42.0,235.0,235.0,277.0,3362.0,55952.0,,687.0,14.0,714.0
"NewEleven Gifts For Women - Wedding Anniversary Card For Wife, Husband, Couple - Romanic Love Gifts For Boyfriend From Girlfriend, Her - Greeting Card COG: 0,42 / Price: 6,99",B0FC5SSDXK,2025-08-10,D0-B6A7-C5GP,12.0,,8388.0,,-991.0,-991.0,,,,,-4139.0,-504.0,2754.0,2754.0,3258.0,3283.0,54643.0,,1181.0,57.0,2105.0
"NewEleven Dog Dad Gifts For Men - Humorous Present, Cute Birthday Gifts For Dog Lovers, Husband, Him - Funny Dog Dad Card From Friend, Family - Greeting Card COG: 0,39 / Price: 6,99",B0FC5TBFWB,2025-08-10,60-KN47-M9LV,4.0,,2796.0,-105.0,-879.0,-879.0,,,,,-1351.0,-156.0,305.0,305.0,461.0,1091.0,19551.0,,3144.0,17.0,2353.0
"NewEleven Funny Boss Gifts - Appreciaton Card, Boss Birthday Card For Men, Women, Manager - Supervisor Gifts For Women From Coworker, Colleague - Greeting Card COG: 0,39 / Price: 4,99",B0FC5TLHKZ,2025-08-10,RT-64X6-JD53,2.0,,998.0,,,,,,,,-626.0,-78.0,294.0,294.0,372.0,2946.0,37692.0,,,11.0,1818.0
"NewEleven Boss Gifts For Women, Men - Boss Birthday Card, Thank You Gift, Heartfelt Message For Leader - Appreciation Present For Manager Form Colleague, Coworker - Greeting Card COG: 0,39 / Price: 4,99",B0FC5W1QX7,2025-08-10,SS-6UAT-LTMJ,1.0,,499.0,,,,,,,,-312.0,-39.0,148.0,148.0,187.0,2966.0,37949.0,,,13.0,769.0
"NewEleven Christian Gifts For Son - Birthday Gift, Meaningful Present, Graduation Gift For Son - Gifts For Sons Adult From Mom, Dad - Decorative Glass Inspirational Scripture Jar with 92 Bible Verse COG: 0 / Price: 17,98",B0FC5WKS3T,2025-08-10,8V-M28O-07YS,,,,,,,,,,,,,,,,,,,,8.0,
"NewEleven Funny Gifts For Boss - Thank You Card, Appreciation Present, Birthday Boss Gifts For Women, Men - Manager Gift From Staff, Coworker, Colleague - Greeting Card COG: 0,39 / Price: 5,99",B0FC5XL613,2025-08-10,UU-WJ6M-WTFN,4.0,,2396.0,-126.0,,,,,,,-1292.0,-156.0,822.0,822.0,978.0,3431.0,52692.0,,,17.0,2353.0
